Feature,Random Importance,Temporal Importance,Difference,Absolute Difference
growth_season,0.30176625594489687,0.0,0.30176625594489687,0.30176625594489687
latitude,0.19986962746757136,0.25229025766758234,-0.052420630200010976,0.052420630200010976
previous_crop,0.006976489731056788,0.05194877733010082,-0.044972287599044036,0.044972287599044036
latitude_cos,0.11797708815691474,0.16289824545050843,-0.044921157293593694,0.044921157293593694
province,0.022101529579354098,0.04662236347309026,-0.024520833893736164,0.024520833893736164
phosphorus_ppm,0.006356389150630735,0.026716649743414537,-0.020360260592783803,0.020360260592783803
crop,0.07932341258539902,0.06007985144396345,0.019243561141435564,0.019243561141435564
npk_potassium_k2o_median,0.010367092090553733,0.028420727883737004,-0.01805363579318327,0.01805363579318327
npk_potassium_k2o,0.01086504754961456,0.028713185155871516,-0.017848137606256954,0.017848137606256954
npk_phosphorus_p2o5_median,0.012241999433316816,0.027450010602593503,-0.015208011169276687,0.015208011169276687
geo_cluster,0.01565830852438297,0.030014702329071892,-0.014356393804688922,0.014356393804688922
climate_zone,0.01515901012804402,0.029503317440859704,-0.014344307312815684,0.014344307312815684
soil_ph_median,0.011007558659592161,0.023443717036489103,-0.012436158376896942,0.012436158376896942
longitude,0.007486408247234667,0.018541750183720243,-0.011055341936485576,0.011055341936485576
province_15,0.0037464319063259363,0.010715797108562292,-0.006969365202236356,0.006969365202236356
province_4,0.020537620965207982,0.027219134374364018,-0.0066815134091560355,0.0066815134091560355
province_23,0.008922176948138037,0.0022972350806519143,0.006624941867486123,0.006624941867486123
nutrient_availability_index,0.0107288917844152,0.016802665661790634,-0.006073773877375434,0.006073773877375434
npk_magnesium_mgo,0.010039414433258516,0.0041303786480425325,0.005909035785215983,0.005909035785215983
province_14,0.010492866057841988,0.01621087253287386,-0.005718006475031873,0.005718006475031873
npk_phosphorus_p2o5,0.004003101819723948,0.009287359448467775,-0.0052842576287438275,0.0052842576287438275
longitude_cos,0.007265588560208734,0.012353356004961319,-0.005087767444752585,0.005087767444752585
province_18,0.00505645348816776,0.00013749295762036857,0.004918960530547392,0.004918960530547392
region_7,0.0020250240324167744,0.005955941713958797,-0.003930917681542022,0.003930917681542022
previous_crop_2,0.003535005193704527,0.00025696563678666724,0.00327803955691786,0.00327803955691786
province_19,0.00044698195501256653,0.003421359184296224,-0.0029743772292836574,0.0029743772292836574
electrical_conductivity_encoded,0.004711510243963038,0.0019688074921119757,0.002742702751851062,0.002742702751851062
province_24,0.003205925257370501,0.005832058581809119,-0.0026261333244386184,0.0026261333244386184
previous_crop_30,0.003415563400173675,0.0009694796276484807,0.0024460837725251944,0.0024460837725251944
electrical_conductivity,0.0035802558219752826,0.0012000362469892771,0.0023802195749860052,0.0023802195749860052
province_21,0.0003522456697236235,0.0026441873129996246,-0.002291941643276001,0.002291941643276001
region,0.007820957075061707,0.0057219879057272775,0.0020989691693344293,0.0020989691693344293
soil_health_index,0.0026364742510633604,0.004628358313500829,-0.001991884062437469,0.001991884062437469
soil_ph,0.002351693541335178,0.004138170485335417,-0.001786476944000239,0.001786476944000239
npk_nitrogen,0.003694565792219707,0.0053289490787185746,-0.0016343832864988677,0.0016343832864988677
province_26,0.0008914730777938982,0.0024941688501299757,-0.0016026957723360774,0.0016026957723360774
organic_matter_percent,0.0027007718035352447,0.004221176747119978,-0.0015204049435847333,0.0015204049435847333
province_22,0.000592198851912447,0.0020951605251844627,-0.0015029616732720158,0.0015029616732720158
previous_crop_32,0.0009871767428845084,0.0024644228291399433,-0.0014772460862554349,0.0014772460862554349
npk_calcium_cao,0.0049135487932917025,0.003563452132839148,0.0013500966604525545,0.0013500966604525545
province_17,0.0016369106907385819,0.0003167559577824772,0.0013201547329561047,0.0013201547329561047
province_5,0.004335970354787552,0.0030794402638199395,0.0012565300909676128,0.0012565300909676128
region_6,0.0020150150222294147,0.0031848329631496484,-0.0011698179409202337,0.0011698179409202337
region_1,0.0007775267671711769,0.001939374636647599,-0.001161847869476422,0.001161847869476422
province_11,0.00307305849859728,0.001928795019434014,0.0011442634791632659,0.0011442634791632659
province_10,0.0016892267128848556,0.002694187676186065,-0.0010049609633012093,0.0010049609633012093
province_12,0.0019552682135415235,0.0029549550904288155,-0.000999686876887292,0.000999686876887292
low_phosphorus_stress,0.0012011483049844843,0.0021235141031496784,-0.0009223657981651942,0.0009223657981651942
soil_ph_category,0.0010697819534319798,0.0019802055474545553,-0.0009104235940225755,0.0009104235940225755
crop_rotation_cycle,0.0012681065654391859,0.00040548268830637607,0.0008626238771328098,0.0008626238771328098
npk_interaction,0.003422872334582098,0.004271492479730874,-0.0008486201451487758,0.0008486201451487758
crop_soil_interaction,0.002997380153741311,0.0037494173851279067,-0.0007520372313865958,0.0007520372313865958
region_3,0.004613298676969783,0.003862992963623041,0.0007503057133467421,0.0007503057133467421
previous_crop_16,0.0023827670145307985,0.0016413643806288802,0.0007414026339019183,0.0007414026339019183
province_29,0.0006639236607871223,8.645414839785719e-05,0.0005774695123892651,0.0005774695123892651
previous_crop_11,0.000694444373375151,0.0012486990674253177,-0.0005542546940501667,0.0005542546940501667
province_27,0.0005183327858322811,0.0,0.0005183327858322811,0.0005183327858322811
previous_crop_1,0.00036175371435029287,0.0008667296252154774,-0.0005049759108651844,0.0005049759108651844
province_13,0.0006440474543073113,0.0001918625244076536,0.0004521849298996577,0.0004521849298996577
previous_crop_34,0.00030995319143143263,0.0007406057250969205,-0.0004306525336654879,0.0004306525336654879
province_8,7.467354079691186e-05,0.0005027954908725187,-0.0004281219500756069,0.0004281219500756069
potassium_ppm,0.0032961572353901263,0.003717451773327467,-0.0004212945379373405,0.0004212945379373405
previous_crop_8,4.705459483752154e-05,0.00042038873748266527,-0.00037333414264514376,0.00037333414264514376
previous_crop_7,0.0004197991974636404,5.1517583352011426e-05,0.00036828161411162893,0.00036828161411162893
previous_crop_25,7.464154298258765e-05,0.0004306738516551243,-0.0003560323086725367,0.0003560323086725367
province_2,0.00044051943884691405,9.486152350938078e-05,0.0003456579153375333,0.0003456579153375333
previous_crop_35,0.00011919840216433844,0.00042900954251137426,-0.0003098111403470358,0.0003098111403470358
previous_crop_26,0.0003336002271666329,2.545529216816929e-05,0.00030814493499846363,0.00030814493499846363
previous_crop_20,0.0003899850506136313,0.0006952059430224271,-0.0003052208924087958,0.0003052208924087958
previous_crop_5,0.0011617940324424284,0.0008967019672899825,0.0002650920651524459,0.0002650920651524459
province_20,0.0006442135236794463,0.0008964579429468706,-0.00025224441926742427,0.00025224441926742427
region_2,0.0003390421080700137,9.209303231884808e-05,0.00024694907575116564,0.00024694907575116564
previous_crop_9,0.0002447932020737472,0.0004904795612755687,-0.0002456863592018215,0.0002456863592018215
province_16,0.0002992364505636474,8.491813460794986e-05,0.00021431831595569755,0.00021431831595569755
sub_program,0.0013116115425343773,0.0015055953568939133,-0.00019398381435953597,0.00019398381435953597
previous_crop_21,5.122397099364748e-06,0.00019496923191429457,-0.00018984683481492983,0.00018984683481492983
sub_program_1,0.0013144471230572645,0.0014768169967462755,-0.000162369873689011,0.000162369873689011
previous_crop_10,0.0005126575785741684,0.0006697255890080349,-0.00015706801043386645,0.00015706801043386645
province_7,0.0002139852390553322,8.374083204002924e-05,0.00013024440701530298,0.00013024440701530298
soil_fertility_index,0.0034472842226443267,0.0035775206651201775,-0.00013023644247585082,0.00013023644247585082
previous_crop_28,0.0019041197235902382,0.0020246022511584087,-0.00012048252756817045,0.00012048252756817045
previous_crop_18,7.128584719349242e-05,0.00017752328945648137,-0.00010623744226298895,0.00010623744226298895
previous_crop_12,9.130380417035164e-05,0.0,9.130380417035164e-05,9.130380417035164e-05
province_6,0.0011022532391478607,0.0010175419926297395,8.471124651812114e-05,8.471124651812114e-05
previous_crop_19,0.00015835700931576856,8.09232146706068e-05,7.743379464516177e-05,7.743379464516177e-05
province_28,6.865867019308966e-05,0.0,6.865867019308966e-05,6.865867019308966e-05
high_conductivity_stress,1.1601942950864306e-05,7.986011412595742e-05,-6.825817117509311e-05,6.825817117509311e-05
region_5,5.963043798776161e-05,0.0,5.963043798776161e-05,5.963043798776161e-05
previous_crop_24,4.520176112279959e-05,3.572765169435736e-07,4.484448460585601e-05,4.484448460585601e-05
province_3,4.250210125030336e-05,0.0,4.250210125030336e-05,4.250210125030336e-05
previous_crop_37,2.2676454178212916e-06,4.2513424462541034e-05,-4.0245779044719744e-05,4.0245779044719744e-05
previous_crop_23,3.560562658423297e-05,0.0,3.560562658423297e-05,3.560562658423297e-05
region_4,6.143180782575406e-05,9.66405214061866e-05,-3.520871358043254e-05,3.520871358043254e-05
province_9,2.6638714976554725e-05,0.0,2.6638714976554725e-05,2.6638714976554725e-05
previous_crop_22,3.46675326510104e-05,5.3883495669559283e-05,-1.9215963018548882e-05,1.9215963018548882e-05
